STATEFP10,STATE,STATE_ABV,ZCTA,GEOID10,MULTI_STATE,POP,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK
13,GA,Georgia,30025,1330025,0,9270,81,1,0,3.9,0.048,0.524,0.4421,6.4,0.4347,0,36.3,0.47,0,12.1,0.6309,0,7.5,0.4403,0,10.1,0.3953,0,16.5,0.5552,0,0,0,0,7.6,0.5621,18.3639399,0.4223,4.2,0.4801,18.2,0.8035,7.260367097,0.112,0.647568873,0.5879,13,0.4209,11.83820415,0.5443,18,0.5067,5.9,0.5819,0.5022,0.5222,3.364869371,0.6041,46.36905105,0.2786,0.6,0.1554,5.4,0.4409,19.70717423,0.3905,0.666666667,0.618,0,0,0.3554,0.272,0.3091,0.1936
13,GA,Georgia,30028,1330028,0,22182,65,0.75,0,4.925,0.068,0.409,0.2244,4.2,0.0732,0,29.7,0.1418,0,7.7,0.0806,0,5,0.1064,0,9.3,0.1494,0,14.3,0.2409,0,0,0,0,11.5,0.7537,11.181271,0.199,2.5,0.2531,10.5,0.5339,6.371971521,0.0828,1.374003847,0.7127,8.7,0.1462,6.212368067,0.2051,11.1,0.1322,6.1,0.6163,0.3635,0.1948,6.220503018,0.6824,46.46665017,0.2777,1.2,0.1975,9.9,0.5803,12.67104239,0.1839,1,0.6973,0,0,0.3742,0.3174,0.1842,0.0462
13,GA,Georgia,30030,1330030,0,26473,75,1,0,4,0.0497,0.5248,0.4455,3.7,0.0416,0,26.6,0.0689,0,7.6,0.0743,0,3.6,0.0251,0,9.1,0.1116,0,13,0.1061,0,0,0,0,5,0.3652,12.74506507,0.2442,3.7,0.4104,4.4,0.1785,21.07789554,0.8737,0.841727125,0.6304,9.3,0.1788,1.84578951,0.0615,13.3,0.2226,7.2,0.7801,0.3945,0.2581,29.09414904,0.8536,38.13027944,0.36,14.1,0.9208,0.1,0.1293,38.4413022,0.8147,1.333333333,0.7627,0,0,0.5487,0.7532,0.3642,0.2934
13,GA,Georgia,30032,1330032,0,47222,66,0.75,0,3.988888889,0.0497,0.3998,0.2111,5.6,0.2682,0,41.6,0.8556,1,16.7,0.9433,1,7.1,0.3747,0,11.9,0.9011,1,18.8,0.8293,1,4,0.6667,0.7602,18.3,0.9155,36.70552839,0.8535,11.4,0.9191,15.1,0.7198,17.16321065,0.7293,0.55756347,0.5657,15.8,0.6011,5.610144114,0.1743,14.1,0.2635,5.4,0.4912,0.6233,0.816,26.34313999,0.84,40.70815953,0.3347,17,0.944,0.5,0.1976,53.08358671,0.9224,1.666666667,0.8026,0,0,0.5773,0.8026,0.6475,0.8161
13,GA,Georgia,30033,1330033,0,30763,54,0.75,0,3.966666667,0.0493,0.3996,0.2109,4.2,0.0732,0,24.8,0.041,0,7.9,0.0945,0,4.1,0.0438,0,9,0.096,0,14.5,0.2671,0,0,0,0,10.4,0.7092,19.08219671,0.4442,2.3,0.2343,6.7,0.3155,18.63608687,0.7967,3.914670419,0.8669,7.4,0.0874,2.343049327,0.0705,14.8,0.3039,4.8,0.3895,0.4218,0.3211,26.19577448,0.8392,44.18791921,0.3013,6.1,0.6702,0.2,0.1491,38.26173065,0.8124,1.333333333,0.7627,0,0,0.505,0.6621,0.2985,0.1772
13,GA,Georgia,30034,1330034,0,43113,64,0.75,0,4,0.0497,0.3998,0.2111,4.5,0.1016,0,39.2,0.7106,1,14.4,0.8473,1,5.3,0.1363,0,11.5,0.8408,1,16.3,0.5238,0,3,0.5,0.6536,13.7,0.824,22.79393384,0.5574,10.9,0.9101,9.2,0.4662,13.78436082,0.5137,0.569869524,0.5687,14.5,0.5195,4.884697891,0.1434,16.3,0.3968,5.8,0.5645,0.5464,0.6364,23.76903947,0.827,40.61239307,0.3358,9.3,0.8279,0.2,0.1491,37.97549968,0.8086,2.666666667,0.868,0,0,0.5452,0.7458,0.5617,0.6822
13,GA,Georgia,30035,1330035,0,20396,63,0.75,0,3.975,0.0495,0.3998,0.2111,4.7,0.1251,0,40.4,0.7905,1,14.9,0.8763,1,5.9,0.202,0,11.9,0.9011,1,17.7,0.7205,1,4,0.6667,0.7602,16.9,0.8957,30.38982391,0.7496,11.1,0.9139,9.4,0.4772,16.2307333,0.6757,1.117031221,0.6764,11,0.2852,6.344776258,0.2121,10.4,0.1103,7.9,0.8489,0.5845,0.7299,28.34319699,0.8503,41.55802688,0.3265,13.3,0.9115,0.1,0.1293,51.51226482,0.9145,0.666666667,0.618,0,0,0.5357,0.7269,0.607,0.7568
13,GA,Georgia,30038,1330038,0,37233,62,0.75,0,3.9,0.048,0.399,0.2103,3.7,0.0416,0,39.4,0.7247,1,12.4,0.6687,1,4.7,0.0817,0,11.7,0.8748,1,17,0.6282,0,3,0.5,0.6536,14.1,0.835,25.54286592,0.6346,7.8,0.8135,8.4,0.4211,19.09289655,0.8161,0.599507254,0.5765,11.5,0.3187,4.960400167,0.1466,8.3,0.0618,7.6,0.8231,0.5447,0.6321,12.99220762,0.7596,51.33908107,0.2295,3.2,0.4037,0.5,0.1976,49.17624908,0.9021,2,0.8311,0,0,0.4748,0.5901,0.5215,0.6056
13,GA,Georgia,30039,1330039,0,41517,47,0.5,0,3.766666667,0.0445,0.2722,0.0718,4,0.058,0,35.8,0.4297,0,10.2,0.3566,0,5,0.1064,0,10.3,0.4679,0,15.2,0.3627,0,0,0,0,12.8,0.7968,17.56660373,0.3956,4.5,0.5199,8.4,0.4211,7.508185616,0.1218,3.263658063,0.8442,8.5,0.1367,9.212682287,0.378,10.5,0.1127,6.2,0.633,0.436,0.3554,15.19763269,0.7769,48.19317919,0.2596,2.9,0.3705,3.2,0.352,22.38537009,0.4727,1,0.6973,0,0,0.4184,0.4381,0.2163,0.0735
13,GA,Georgia,30040,1330040,0,54653,62,0.75,0,4.893333333,0.067,0.4085,0.224,4.2,0.0732,0,29.1,0.1239,0,7.9,0.0945,0,4.7,0.0817,0,9,0.096,0,13.5,0.15,0,0,0,0,8.7,0.6272,10.60893136,0.1831,3.5,0.3811,7.6,0.3725,8.279959873,0.1534,2.90406274,0.8277,8.2,0.1211,6.440091216,0.2171,12.1,0.1689,7,0.755,0.3807,0.2306,14.86050805,0.7742,40.05368943,0.3408,2.1,0.2854,3.4,0.3609,17.74938733,0.3266,1,0.6973,0,0,0.3979,0.3808,0.2088,0.0665
