,Name,Address,City,Zip,State
156,"Project Rita is a proposed data center campus in Tyrone, Georgia, encompassing two one-story buildings with a combined capacity of 96MW. The development spans 145.5 acres and includes an on-site substation.",Plainville Road NE & Hwy 53,Rome,30165,Georgia
157,CleanSpark,2015 George J Lyons Pkwy,Sandersville,31082,Georgia
158,Welcome To Sargent Rd & Wagers Mill Rd,Welcome To Sargent Rd & Wagers Mill Rd,Sargent,30263,Georgia
159,5600 United Drive,5600 United Drive,Smyrna,30082,Georgia
160,Verizon Atlanta,4000 Highland Parkway SE,Smyrna,30082,Georgia
161,100 Move Fast Way,100 Move Fast Way,Social Circle,30025,Georgia
162,200 Selig Dr SW,200 Selig Dr SW,South Fulton,30336,Georgia
163,Plummer Rd SW & Riverside Dr SW,Plummer Rd SW & Riverside Dr SW,South Fulton,30336,Georgia
164,Ubiquity,695 Brannen St,Statesboro,30461,Georgia
165,300 Satellite Blvd,300 Satellite Blvd,Suwanee,30024,Georgia
166,Serverfarm Atlanta Data Center ATL1,305 Satellite Blvd,Suwanee,30024,Georgia
167,"The Edged ATL3 data center is a beacon of modern IT infrastructure, situated in the heart of Atlanta, Georgia.",120 Satellite Boulevard,Suwanee,30024,Georgia
168,Taff Road,Taff Road,Taylorsville,30178,Georgia
169,Project Azalea,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
170,Project Azalea - Building A,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
171,Project Azalea - Building B,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
172,Project Azalea - Building C,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
173,Project Azalea - Building D,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
174,Project Azalea - Building E,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
175,Project Azalea - Building F,2660-2358 Randall Hunt Rd,Thomson,30824,Georgia
176,1960-2044 Georgia State Route 74,1960-2044 Georgia State Route 74,Tyrone,30290,Georgia
177,"Grind Capital Group has secured zoning approval to develop a 108MW data center campus in Marietta, Georgia, just northwest of Atlanta.",1960 Georgia State Route 74,Tyrone,30290,Georgia
178,"Project Rita is a proposed data center campus in Tyrone, Georgia, encompassing two one-story buildings with a combined capacity of 96MW. The development spans 145.5 acres and includes an on-site substation.",2044 Georgia State Route 74,Tyrone,30290,Georgia
179,4810 Stonewall Tell Rd,4810 Stonewall Tell Rd,Union City,30349,Georgia
180,Microsoft Union City Campus,4810 Stonewall Tell Rd,Union City,30349,Georgia
181,TA Realty ATL03,7170 Red Oak Rd,Union City,30291,Georgia
182,CleanSpark,430 Davis Rd,Vidalia,30474,Georgia
183,"Atlas Development is planning a large-scale data center campus outside Rome, Georgia, known as Project Gracie. The facility will cover 2.395 million square feet and consist of seven buildings on a greenfield site along Vann Road NW.",55-63 Goldworth Rd,Villa Rica,30180,Georgia
184,CleanSpark,197 Dixie Wood Rd,Washington,30673,Georgia
185,SAS 70 certified Atlanta Data Center providing excellent network interconnectivity at low cost.,2912 Post Rd,Winston,30187,Georgia
