"GEO_ID","NAME","B09010_001E","B09010_001M","B09010_002E","B09010_002M","B09010_003E","B09010_003M","B09010_004E","B09010_004M","B09010_005E","B09010_005M","B09010_006E","B09010_006M","B09010_007E","B09010_007M","B09010_008E","B09010_008M","B09010_009E","B09010_009M","B09010_010E","B09010_010M","B09010_011E","B09010_011M","B09010_012E","B09010_012M","B09010_013E","B09010_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Estimate!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Margin of Error!!Total:!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In married-couple family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In male householder, no spouse present, family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In family households:!!In female householder, no spouse present, family","Estimate!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households","Margin of Error!!Total:!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:!!In nonfamily households",
"860Z200US30101","ZCTA5 30101","16137","1655","2248","995","2248","995","1666","968","221","209","361","220","0","34","13889","1552","13868","1549","12098","1540","337","233","1433","459","21","25",
"860Z200US30102","ZCTA5 30102","9838","995","1574","614","1574","614","733","290","41","50","800","524","0","30","8264","874","8264","874","6903","886","549","272","812","288","0","30",
"860Z200US30103","ZCTA5 30103","3277","509","248","143","248","143","186","129","35","46","27","32","0","23","3029","507","3029","507","2635","473","87","103","307","163","0","23",
"860Z200US30104","ZCTA5 30104","1412","324","632","227","632","227","166","131","157","153","309","202","0","20","780","309","780","309","602","278","72","86","106","72","0","20",
"860Z200US30105","ZCTA5 30105","321","145","85","102","85","102","0","14","0","14","85","102","0","14","236","129","236","129","198","120","0","14","38","34","0","14",
"860Z200US30106","ZCTA5 30106","4713","702","1746","670","1746","670","20","33","441","211","1285","607","0","27","2967","563","2967","563","2035","541","197","151","735","297","0","27",
"860Z200US30107","ZCTA5 30107","4391","589","370","246","352","254","317","255","6","10","29","28","18","27","4021","569","4021","569","3431","555","184","126","406","169","0","23",
"860Z200US30108","ZCTA5 30108","1181","323","180","112","178","112","14","24","0","20","164","110","2","3","1001","302","1001","302","798","278","49","47","154","197","0","20",
"860Z200US30110","ZCTA5 30110","3751","474","1047","440","1047","440","723","359","49","55","275","271","0","23","2704","446","2689","443","2437","431","80","84","172","146","15","24",
"860Z200US30111","ZCTA5 30111","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30113","ZCTA5 30113","1302","415","282","180","282","180","134","146","37","42","111","93","0","20","1020","343","1015","344","821","342","92","118","102","74","5","9",
"860Z200US30114","ZCTA5 30114","15906","1121","2643","1056","2630","1054","1471","669","0","34","1159","632","13","25","13263","1260","13263","1260","10397","1123","920","480","1946","608","0","34",
"860Z200US30115","ZCTA5 30115","12663","1284","1048","468","1048","468","586","396","0","34","462","338","0","34","11615","1200","11590","1189","10091","1183","469","263","1030","423","25","43",
"860Z200US30116","ZCTA5 30116","4486","720","1069","425","1069","425","241","163","131","157","697","390","0","27","3417","647","3417","647","2528","540","205","161","684","427","0","27",
"860Z200US30117","ZCTA5 30117","8989","812","3186","699","3186","699","1242","467","273","233","1671","513","0","30","5803","750","5691","747","3856","588","427","197","1408","473","112","104",
"860Z200US30118","ZCTA5 30118","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30120","ZCTA5 30120","11688","833","2735","588","2735","588","809","377","441","285","1485","456","0","30","8953","992","8953","992","7352","967","489","311","1112","417","0","30",
"860Z200US30121","ZCTA5 30121","5124","751","867","387","850","388","574","311","63","63","213","154","17","24","4257","698","4233","703","3254","709","386","234","593","357","24","39",
"860Z200US30122","ZCTA5 30122","6611","1249","1844","668","1844","668","621","466","635","518","588","261","0","27","4767","1107","4659","1117","2814","840","241","93","1604","785","108","134",
"860Z200US30124","ZCTA5 30124","351","159","43","41","43","41","7","14","0","14","36","37","0","14","308","153","308","153","249","143","27","42","32","34","0","14",
"860Z200US30125","ZCTA5 30125","6126","527","1909","379","1909","379","950","341","145","104","814","303","0","27","4217","570","4149","577","2906","622","309","240","934","291","68","70",
"860Z200US30126","ZCTA5 30126","8951","932","2240","935","2240","935","1233","586","28","60","979","847","0","30","6711","935","6696","931","4998","792","867","409","831","333","15","23",
"860Z200US30127","ZCTA5 30127","15762","1286","2648","779","2648","779","1289","509","181","159","1178","536","0","34","13114","1178","12973","1186","10008","1096","834","308","2131","602","141","114",
"860Z200US30132","ZCTA5 30132","13294","1124","2396","858","2396","858","1345","692","326","367","725","418","0","34","10898","1093","10898","1093","8917","1011","455","273","1526","504","0","34",
"860Z200US30134","ZCTA5 30134","12498","1277","3439","719","3439","719","1399","581","304","287","1736","613","0","30","9059","1277","9059","1277","5774","1137","504","286","2781","728","0","30",
"860Z200US30135","ZCTA5 30135","17004","1314","4891","869","4891","869","2325","698","289","185","2277","691","0","34","12113","1297","12102","1295","8464","1180","1043","412","2595","727","11","28",
"860Z200US30137","ZCTA5 30137","443","196","125","121","125","121","0","14","7","13","118","123","0","14","318","157","318","157","184","95","22","35","112","106","0","14",
"860Z200US30139","ZCTA5 30139","918","253","208","134","208","134","44","47","135","129","29","32","0","14","710","242","710","242","592","212","81","137","37","30","0","14",
"860Z200US30141","ZCTA5 30141","7205","1184","1508","596","1508","596","853","451","140","148","515","315","0","27","5697","968","5697","968","3501","650","381","278","1815","847","0","27",
"860Z200US30143","ZCTA5 30143","4748","380","714","307","714","307","353","214","104","114","257","173","0","27","4034","423","4027","424","3041","476","437","327","549","192","7","11",
"860Z200US30144","ZCTA5 30144","12369","1506","2394","1019","2382","1019","877","378","120","127","1385","1111","12","20","9975","1164","9948","1160","7642","1062","957","509","1349","382","27","30",
"860Z200US30145","ZCTA5 30145","2034","403","217","120","217","120","143","95","4","7","70","62","0","20","1817","376","1817","376","1381","341","109","116","327","180","0","20",
"860Z200US30147","ZCTA5 30147","1152","316","542","237","542","237","381","239","23","36","138","114","0","14","610","278","610","278","308","151","42","50","260","225","0","14",
"860Z200US30148","ZCTA5 30148","149","143","59","94","59","94","3","18","56","90","0","14","0","14","90","104","90","104","90","104","0","14","0","14","0","14",
"860Z200US30149","ZCTA5 30149","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30152","ZCTA5 30152","10400","1155","1823","676","1823","676","868","377","81","81","874","512","0","30","8577","1032","8557","1030","7237","1056","321","176","999","333","20","23",
"860Z200US30153","ZCTA5 30153","4614","706","1261","539","1261","539","743","437","26","39","492","300","0","23","3353","594","3152","645","2575","612","102","92","475","293","201","168",
"860Z200US30157","ZCTA5 30157","13814","1221","1877","559","1877","559","1117","423","69","86","691","424","0","34","11937","1173","11876","1169","9885","1173","676","308","1315","378","61","54",
"860Z200US30161","ZCTA5 30161","7774","702","3062","677","3042","673","1157","486","346","214","1539","531","20","28","4712","657","4712","657","3253","504","276","142","1183","407","0","30",
"860Z200US30165","ZCTA5 30165","10923","737","3450","906","3450","906","1148","618","127","102","2175","744","0","28","7473","881","7420","884","5887","851","428","210","1105","451","53","64",
"860Z200US30168","ZCTA5 30168","7069","949","1600","484","1600","484","574","265","84","90","942","392","0","27","5469","917","5469","917","2678","683","1096","740","1695","493","0","27",
"860Z200US30170","ZCTA5 30170","1084","310","276","211","276","211","232","205","2","4","42","53","0","14","808","250","780","243","552","207","15","16","213","144","28","38",
"860Z200US30171","ZCTA5 30171","773","235","180","75","165","73","90","63","53","49","22","25","15","24","593","235","584","233","490","209","0","14","94","102","9","15",
"860Z200US30173","ZCTA5 30173","1331","312","218","138","218","138","144","106","0","20","74","89","0","20","1113","271","1113","271","913","254","143","124","57","75","0","20",
"860Z200US30175","ZCTA5 30175","870","275","132","99","132","99","89","81","0","20","43","57","0","20","738","276","738","276","676","279","45","66","17","22","0","20",
"860Z200US30176","ZCTA5 30176","1560","326","695","268","695","268","418","195","65","77","212","161","0","20","865","300","865","300","691","260","29","37","145","123","0","20",
"860Z200US30177","ZCTA5 30177","117","129","117","129","117","129","50","76","0","14","67","107","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30178","ZCTA5 30178","789","201","93","92","93","92","87","92","2","4","4","7","0","14","696","214","696","214","660","215","30","39","6","11","0","14",
"860Z200US30179","ZCTA5 30179","5112","787","1282","510","1282","510","555","346","198","174","529","382","0","23","3830","639","3830","639","3202","623","203","137","425","216","0","23",
"860Z200US30180","ZCTA5 30180","12094","980","4157","890","4157","890","2359","881","296","256","1502","592","0","30","7937","1116","7937","1116","6307","976","441","240","1189","545","0","30",
"860Z200US30182","ZCTA5 30182","795","327","159","110","159","110","159","110","0","14","0","14","0","14","636","309","636","309","401","218","0","14","235","216","0","14",
"860Z200US30183","ZCTA5 30183","619","231","54","54","54","54","0","20","11","23","43","51","0","20","565","214","565","214","464","188","34","49","67","61","0","20",
"860Z200US30184","ZCTA5 30184","1624","576","318","195","318","195","216","163","96","94","6","27","0","20","1306","540","1306","540","1125","533","35","43","146","130","0","20",
"860Z200US30185","ZCTA5 30185","852","292","233","142","233","142","74","68","8","11","151","126","0","14","619","252","619","252","592","252","24","34","3","5","0","14",
"860Z200US30187","ZCTA5 30187","1877","448","381","262","373","260","295","246","18","31","60","63","8","15","1496","401","1496","401","1174","332","23","31","299","219","0","20",
"860Z200US30188","ZCTA5 30188","15589","998","833","286","833","286","310","163","7","14","516","237","0","34","14756","1038","14514","1052","11449","1082","1100","663","1965","520","242","232",
"860Z200US30189","ZCTA5 30189","8191","754","1044","534","1044","534","231","231","33","45","780","488","0","30","7147","752","7147","752","5132","619","787","357","1228","432","0","30",
"860Z200US30204","ZCTA5 30204","2560","342","928","331","928","331","270","161","0","23","658","264","0","23","1632","373","1632","373","1119","406","122","111","391","220","0","23",
"860Z200US30205","ZCTA5 30205","661","177","89","93","89","93","23","35","0","14","66","81","0","14","572","175","572","175","521","168","23","32","28","28","0","14",
"860Z200US30206","ZCTA5 30206","770","232","70","73","70","73","0","14","0","14","70","73","0","14","700","223","700","223","460","191","0","14","240","157","0","14",
"860Z200US30213","ZCTA5 30213","13979","2370","4415","2331","4415","2331","2447","2022","180","178","1788","776","0","34","9564","2418","9564","2418","5495","1673","313","321","3756","1434","0","34",
"860Z200US30214","ZCTA5 30214","6356","574","1787","545","1787","545","681","269","149","118","957","464","0","30","4569","657","4569","657","3152","652","563","307","854","298","0","30",
"860Z200US30215","ZCTA5 30215","9740","884","1009","453","1009","453","544","359","30","39","435","334","0","30","8731","840","8731","840","6973","669","777","593","981","391","0","30",
"860Z200US30216","ZCTA5 30216","382","201","64","78","64","78","17","23","0","14","47","73","0","14","318","191","318","191","228","178","0","14","90","84","0","14",
"860Z200US30217","ZCTA5 30217","1969","262","887","299","887","299","563","259","73","79","251","115","0","20","1082","278","1082","278","868","253","28","37","186","133","0","20",
"860Z200US30218","ZCTA5 30218","248","155","36","46","36","46","0","14","0","14","36","46","0","14","212","143","212","143","197","140","0","14","15","25","0","14",
"860Z200US30220","ZCTA5 30220","998","209","170","135","170","135","45","61","0","20","125","119","0","20","828","177","828","177","594","182","26","33","208","124","0","20",
"860Z200US30222","ZCTA5 30222","925","237","345","175","345","175","77","70","16","45","252","168","0","14","580","256","580","256","433","233","59","69","88","96","0","14",
"860Z200US30223","ZCTA5 30223","8642","650","4046","606","4046","606","1326","419","654","385","2066","470","0","30","4596","711","4578","708","1972","524","813","325","1793","459","18","31",
"860Z200US30224","ZCTA5 30224","6902","714","2146","533","2051","531","384","222","28","47","1639","522","95","141","4756","641","4756","641","3539","551","219","164","998","453","0","27",
"860Z200US30228","ZCTA5 30228","13610","1235","4500","1106","4468","1096","2004","760","241","270","2223","941","32","60","9110","1153","9093","1151","5347","1242","416","263","3330","849","17","22",
"860Z200US30229","ZCTA5 30229","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30230","ZCTA5 30230","1866","483","807","397","807","397","250","202","365","334","192","134","0","20","1059","354","1045","347","824","281","51","77","170","133","14","28",
"860Z200US30233","ZCTA5 30233","5482","497","1764","392","1764","392","621","326","10","19","1133","408","0","27","3718","575","3718","575","2514","522","471","361","733","338","0","27",
"860Z200US30234","ZCTA5 30234","353","167","64","80","64","80","16","21","4","8","44","78","0","14","289","150","289","150","212","138","2","3","75","87","0","14",
"860Z200US30236","ZCTA5 30236","12035","1357","4356","1106","4356","1106","1093","552","649","402","2614","915","0","34","7679","1086","7679","1086","4026","884","981","535","2672","755","0","34",
"860Z200US30238","ZCTA5 30238","12281","1683","4571","981","4571","981","1858","754","291","263","2422","889","0","30","7710","1550","7710","1550","3640","818","773","436","3297","1209","0","30",
"860Z200US30240","ZCTA5 30240","7461","873","2804","856","2742","859","469","298","212","183","2061","711","62","88","4657","714","4657","714","3165","623","348","243","1144","377","0","30",
"860Z200US30241","ZCTA5 30241","6471","865","3316","668","3283","672","1015","583","574","394","1694","520","33","48","3155","686","3133","685","2064","563","165","139","904","331","22","34",
"860Z200US30248","ZCTA5 30248","10621","1023","2035","583","2035","583","862","408","292","226","881","363","0","30","8586","1073","8586","1073","6623","1126","477","254","1486","652","0","30",
"860Z200US30250","ZCTA5 30250","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30251","ZCTA5 30251","296","154","85","84","85","84","4","8","81","83","0","14","0","14","211","127","211","127","150","109","24","36","37","47","0","14",
"860Z200US30252","ZCTA5 30252","12845","964","2698","715","2667","714","1592","594","235","197","840","409","31","37","10147","970","10135","972","7967","881","641","263","1527","509","12","19",
"860Z200US30253","ZCTA5 30253","16773","1475","6307","1146","6238","1143","2059","818","691","431","3488","793","69","110","10466","1288","10451","1288","6798","1033","432","292","3221","782","15","27",
"860Z200US30256","ZCTA5 30256","721","217","89","98","89","98","39","74","0","14","50","53","0","14","632","207","632","207","471","195","41","43","120","106","0","14",
"860Z200US30257","ZCTA5 30257","1133","348","283","221","283","221","225","202","58","88","0","14","0","14","850","285","850","285","553","250","16","96","281","180","0","14",
"860Z200US30258","ZCTA5 30258","593","216","223","132","147","114","47","59","0","14","100","99","76","68","370","176","370","176","310","169","20","32","40","39","0","14",
"860Z200US30259","ZCTA5 30259","915","261","172","191","172","191","115","184","32","23","25","35","0","14","743","193","743","193","542","186","5","8","196","136","0","14",
"860Z200US30260","ZCTA5 30260","8945","1442","4322","1431","4322","1431","339","191","91","105","3892","1432","0","27","4623","793","4623","793","2626","689","217","160","1780","608","0","27",
"860Z200US30263","ZCTA5 30263","13975","903","3065","873","3065","873","1191","420","348","237","1526","634","0","34","10910","924","10880","922","7676","875","786","334","2418","668","30","35",
"860Z200US30265","ZCTA5 30265","9648","937","1083","436","1032","438","645","361","10","19","377","250","51","79","8565","1024","8553","1021","6630","980","280","188","1643","604","12","23",
"860Z200US30268","ZCTA5 30268","2618","555","954","526","954","526","295","239","158","157","501","453","0","23","1664","506","1664","506","1420","486","8","25","236","193","0","23",
"860Z200US30269","ZCTA5 30269","9430","640","597","298","597","298","400","231","0","30","197","162","0","30","8833","704","8833","704","6991","711","282","199","1560","575","0","30",
"860Z200US30272","ZCTA5 30272","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30273","ZCTA5 30273","4609","1046","2233","906","2233","906","770","440","80","102","1383","788","0","23","2376","619","2376","619","1238","585","266","269","872","430","0","23",
"860Z200US30274","ZCTA5 30274","8424","1247","3487","970","3487","970","1200","546","166","153","2121","745","0","30","4937","944","4914","939","2371","773","314","205","2229","738","23","35",
"860Z200US30275","ZCTA5 30275","57","72","0","14","0","14","0","14","0","14","0","14","0","14","57","72","57","72","0","14","0","14","57","72","0","14",
"860Z200US30276","ZCTA5 30276","5271","667","733","261","684","254","406","193","112","146","166","121","49","80","4538","706","4483","709","3507","690","408","240","568","284","55","61",
"860Z200US30277","ZCTA5 30277","4480","594","228","158","228","158","146","137","12","20","70","74","0","27","4252","590","4252","590","3802","507","299","261","151","93","0","27",
"860Z200US30281","ZCTA5 30281","15981","1263","3953","862","3941","862","1755","552","364","376","1822","755","12","21","12028","1041","11990","1033","7660","942","468","265","3862","764","38","70",
"860Z200US30284","ZCTA5 30284","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30285","ZCTA5 30285","102","84","22","36","22","36","22","36","0","14","0","14","0","14","80","91","80","91","70","93","0","14","10","17","0","14",
"860Z200US30286","ZCTA5 30286","5863","187","2069","505","2049","508","369","204","569","308","1111","402","20","35","3794","482","3794","482","2520","472","437","350","837","266","0","27",
"860Z200US30288","ZCTA5 30288","1762","544","899","310","899","310","517","228","55","63","327","234","0","20","863","503","863","503","490","389","0","20","373","292","0","20",
"860Z200US30289","ZCTA5 30289","10","16","0","14","0","14","0","14","0","14","0","14","0","14","10","16","10","16","10","16","0","14","0","14","0","14",
"860Z200US30290","ZCTA5 30290","1966","253","169","173","169","173","113","146","0","20","56","89","0","20","1797","290","1797","290","1459","293","30","49","308","218","0","20",
"860Z200US30291","ZCTA5 30291","7088","830","2606","814","2606","814","391","257","262","357","1953","592","0","27","4482","873","4418","864","2405","693","613","461","1400","491","64","95",
"860Z200US30292","ZCTA5 30292","1353","342","180","108","180","108","38","50","56","69","86","90","0","20","1173","349","1173","349","1000","307","30","47","143","147","0","20",
"860Z200US30293","ZCTA5 30293","337","155","129","120","129","120","21","59","21","31","87","100","0","14","208","102","208","102","90","56","0","14","118","103","0","14",
"860Z200US30294","ZCTA5 30294","10286","1384","3782","1021","3718","1002","1357","586","120","145","2241","821","64","101","6504","1211","6504","1211","3328","818","430","262","2746","980","0","30",
"860Z200US30295","ZCTA5 30295","1272","320","282","160","282","160","104","101","16","22","162","144","0","20","990","255","910","267","635","204","119","144","156","96","80","110",
"860Z200US30296","ZCTA5 30296","6918","1276","2806","825","2747","811","699","383","299","318","1749","656","59","103","4112","1144","4100","1146","2416","642","209","178","1475","820","12","23",
"860Z200US30297","ZCTA5 30297","8735","1097","4003","1173","4003","1173","993","480","799","455","2211","1144","0","27","4732","998","4720","997","2592","713","449","367","1679","645","12","23",
"860Z200US30303","ZCTA5 30303","149","90","53","80","53","80","0","20","0","20","53","80","0","20","96","36","96","36","21","34","75","5","0","20","0","20",
"860Z200US30305","ZCTA5 30305","3999","783","64","52","64","52","21","32","10","17","33","37","0","27","3935","779","3911","780","3209","768","153","105","549","184","24","39",
"860Z200US30306","ZCTA5 30306","4199","557","157","107","157","107","86","75","0","27","71","79","0","27","4042","569","4042","569","3708","543","95","77","239","138","0","27",
"860Z200US30307","ZCTA5 30307","4095","431","483","237","483","237","241","203","0","27","242","147","0","27","3612","431","3551","416","2791","354","279","146","481","296","61","95",
"860Z200US30308","ZCTA5 30308","1565","462","359","264","359","264","0","27","0","27","359","264","0","27","1206","337","1186","343","795","296","42","51","349","244","20","32",
"860Z200US30309","ZCTA5 30309","2392","486","225","203","187","200","14","21","0","30","173","199","38","59","2167","455","2167","455","1813","428","92","78","262","169","0","30",
"860Z200US30310","ZCTA5 30310","4831","806","2653","729","2635","730","273","155","143","105","2219","755","18","29","2178","479","2178","479","1195","389","115","112","868","357","0","27",
"860Z200US30311","ZCTA5 30311","7075","1307","4540","1211","4537","1212","968","732","338","316","3231","994","3","5","2535","819","2535","819","909","448","348","257","1278","623","0","30",
"860Z200US30312","ZCTA5 30312","3886","803","1717","733","1658","750","25","18","365","500","1268","510","59","95","2169","497","2169","497","1485","318","335","299","349","278","0","27",
"860Z200US30313","ZCTA5 30313","536","258","218","204","218","204","0","23","0","23","218","204","0","23","318","187","318","187","85","75","82","88","151","165","0","23",
"860Z200US30314","ZCTA5 30314","4472","704","2550","617","2505","608","214","177","63","101","2228","618","45","67","1922","538","1922","538","803","403","256","163","863","378","0","27",
"860Z200US30315","ZCTA5 30315","7569","1280","4519","1326","4519","1326","824","868","300","349","3395","929","0","30","3050","553","2991","547","1494","416","383","207","1114","357","59","84",
"860Z200US30316","ZCTA5 30316","6081","994","1817","811","1792","808","350","220","0","30","1442","797","25","40","4264","763","4196","763","2651","610","523","324","1022","402","68","86",
"860Z200US30317","ZCTA5 30317","3533","762","615","507","602","506","50","70","97","123","455","495","13","21","2918","471","2918","471","2499","460","81","87","338","205","0","23",
"860Z200US30318","ZCTA5 30318","9749","1037","3327","780","3327","780","186","187","147","219","2994","677","0","34","6422","840","6413","843","4560","551","176","106","1677","735","9","17",
"860Z200US30319","ZCTA5 30319","10063","1320","1985","1149","1985","1149","347","376","175","192","1463","1136","0","30","8078","757","8078","757","6669","573","233","129","1176","534","0","30",
"860Z200US30322","ZCTA5 30322","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30324","ZCTA5 30324","4105","1402","315","292","315","292","53","66","59","70","203","275","0","27","3790","1361","3790","1361","3029","1297","187","166","574","583","0","27",
"860Z200US30326","ZCTA5 30326","550","275","0","20","0","20","0","20","0","20","0","20","0","20","550","275","550","275","383","243","12","18","155","154","0","20",
"860Z200US30327","ZCTA5 30327","5334","528","46","57","46","57","33","54","0","27","13","19","0","27","5288","525","5288","525","4615","509","214","134","459","317","0","27",
"860Z200US30328","ZCTA5 30328","7775","925","535","366","535","366","74","51","116","99","345","371","0","30","7240","884","7240","884","5517","764","258","167","1465","532","0","30",
"860Z200US30329","ZCTA5 30329","5444","876","790","396","790","396","418","337","54","58","318","189","0","27","4654","782","4495","769","3462","708","504","256","529","246","159","217",
"860Z200US30331","ZCTA5 30331","16526","2144","7227","2018","7227","2018","985","439","194","218","6048","1905","0","34","9299","911","9299","911","4581","686","870","439","3848","888","0","34",
"860Z200US30332","ZCTA5 30332","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30334","ZCTA5 30334","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"860Z200US30336","ZCTA5 30336","17","30","0","14","0","14","0","14","0","14","0","14","0","14","17","30","17","30","0","14","0","14","17","30","0","14",
"860Z200US30337","ZCTA5 30337","1996","491","747","474","747","474","234","341","13","23","500","301","0","23","1249","460","1216","456","660","384","51","69","505","273","33","51",
"860Z200US30338","ZCTA5 30338","9604","829","586","309","586","309","274","179","22","24","290","265","0","30","9018","761","8988","763","8118","711","331","212","539","174","30","33",
"860Z200US30339","ZCTA5 30339","3408","717","696","484","696","484","418","461","9","16","269","137","0","30","2712","599","2700","601","1867","491","119","100","714","337","12","18",
"860Z200US30340","ZCTA5 30340","7788","984","2536","671","2536","671","1279","396","460","269","797","470","0","30","5252","951","5182","951","3154","740","319","163","1709","658","70","47",
"860Z200US30341","ZCTA5 30341","8851","1027","1963","848","1963","848","913","651","396","289","654","542","0","30","6888","906","6888","906","5213","707","386","282","1289","567","0","30",
"860Z200US30342","ZCTA5 30342","6640","747","1198","393","1198","393","324","278","0","30","874","437","0","30","5442","669","5406","670","4626","619","102","74","678","297","36","55",
"860Z200US30344","ZCTA5 30344","8850","1203","3942","1184","3942","1184","838","605","435","372","2669","1083","0","30","4908","833","4869","825","1748","467","641","317","2480","727","39","55",
"860Z200US30345","ZCTA5 30345","5507","914","720","615","720","615","504","582","0","27","216","173","0","27","4787","893","4787","893","3517","698","456","458","814","398","0","27",
"860Z200US30346","ZCTA5 30346","489","314","189","270","189","270","0","14","0","14","189","270","0","14","300","177","300","177","157","149","0","14","143","148","0","14",
"860Z200US30349","ZCTA5 30349","20540","2160","9280","1618","9268","1618","2754","879","333","263","6181","1538","12","22","11260","1451","11157","1462","5858","1075","1124","461","4175","1110","103","127",
"860Z200US30350","ZCTA5 30350","5815","897","885","347","885","347","476","226","0","30","409","261","0","30","4930","878","4868","865","3634","805","214","159","1020","377","62","91",
"860Z200US30354","ZCTA5 30354","4277","1203","2118","936","2118","936","245","140","270","323","1603","889","0","23","2159","716","2159","716","793","336","97","96","1269","719","0","23",
"860Z200US30360","ZCTA5 30360","4310","806","835","411","835","411","227","237","263","281","345","245","0","23","3475","772","3434","769","2530","706","435","434","469","252","41","69",
"860Z200US30363","ZCTA5 30363","77","99","0","14","0","14","0","14","0","14","0","14","0","14","77","99","77","99","77","99","0","14","0","14","0","14",
"860Z200US30401","ZCTA5 30401","3729","268","2153","394","2153","394","991","380","49","52","1113","291","0","23","1576","319","1576","319","992","265","120","85","464","210","0","23",
"860Z200US30410","ZCTA5 30410","345","128","24","27","24","27","24","27","0","14","0","14","0","14","321","126","321","126","310","126","0","14","11","18","0","14",
